Name,Team,Year,class_rank,1m_prequal,3m_prequal,1m Prelim Score,1M Consol Score,1M Final Score,3M Prelim Score,3M Consol Score,3M Final Score,international,qualify
Alexa Gonczi,Clarion,2025,SR,265.75,264.00,439.80,,441.40,482.85,,520.95,0,1
Luna Castellanos,Clarion,2025,JR,255.25,255.75,444.80,,476.75,492.95,,542.55,1,1
Colleen Hudson,Clarion,2025,SO,234.30,268.70,411.40,,456.50,447.90,,505.85,0,1
Taelyn Thomas,Clarion,2025,SO,231.30,230.15,408.70,,437.80,423.10,392.50,,0,1
Adriana Mieses Sanchez,West Florida,2025,JR,226.65,223.20,391.75,,432.55,407.00,421.25,,0,1
Aspen Warnygora,Minnesota Mankato,2025,SR,225.45,219.00,401.05,,426.10,417.45,439.20,,0,1
Alexis Lumaj,Uindy,2025,SR,222.50,223.60,371.20,394.25,,421.35,439.30,,0,1
Kaitlyn Madigan,Clarion,2025,JR,222.30,251.05,375.10,405.50,,453.85,,491.80,0,1
Madison Kooistra,Grand Valley,2025,SR,221.55,240.75,432.35,,441.65,451.70,,506.55,0,1
Avery Lommel,Augustana,2025,SO,221.00,217.90,373.60,415.75,,392.10,,,0,1
Abriella Werner,St. Cloud,2025,FR,220.75,211.35,331.75,,,332.50,,,0,1
Megan Sunderman,Uindy,2025,SO,219.05,233.70,370.00,381.05,,373.40,,,0,1
Riley Hunt,Ashland,2025,SO,217.05,197.10,322.00,,,403.70,421.25,,0,1
Kenya Meyer,Colorado Mesa,2025,JR,216.35,245.25,362.30,,,451.10,,478.05,0,1
Olivia Nelson,West Florida,2025,JR,214.95,208.00,382.95,380.60,,448.30,,487.45,0,1
Talia Datilio,Colorado Mesa,2025,SO,214.50,250.80,341.95,,,418.80,430.60,,0,1
Kalina Ceglinski,Northern Michigan,2025,SO,212.40,219.65,378.80,386.55,,444.20,,462.75,0,1
Kate Robbins,Augustana,2025,SR,208.55,227.80,359.20,,,356.30,,,0,1
Amelia Licht,Colorado Mesa,2025,JR,208.55,200.55,388.60,,388.10,393.15,,,0,1
Macy Polasek,Grand Valley,2025,SO,206.95,210.55,,,,,,,0,0
Emi Goto,Grand Valley,2025,SO,206.05,217.30,354.55,,,375.85,,,0,1
Natalie Freeman,Minnesota Mankato,2025,SO,205.75,199.55,,,,,,,0,0
Hilla Almog,Bentley,2025,SR,205.60,200.60,,,,,,,0,0
Caitlyn Greenwalt,Concordia St. Paul,2025,JR,204.60,235.95,366.90,362.05,,396.25,439.10,,0,1
Jenna Hurley,Colorado Mesa,2025,SO,199.25,206.05,,,,,,,0,0
Karlie Woodall,St. Cloud,2025,,199.20,198.70,,,,,,,0,0
Sidney Simmons,Roberts Wesleyan,2025,SO,198.80,181.15,,,,,,,0,0
Olivia Kutsche,Grand Valley,2025,FR,198.55,220.15,387.25,380.95,,419.70,432.90,,0,1
Cailey Mills,Saginaw Valley,2025,JR,195.95,185.80,,,,,,,0,0
Emma lence,Colorado Mesa,2025,FR,194.10,201.20,,,,,,,0,0
Claire Garrelts ,Drury,2025,FR,193.10,169.40,,,,,,,0,0
Julianna Holt,Colorado Mesa,2025,SO,191.15,215.75,,,,,,,0,0
Reagan Fulton,Delta State,2025,SR,190.30,166.00,,,,,,,0,0
Lorelai Carney,Biola,2025,SR,186.60,198.65,,,,,,,0,0
Alicia Viaches,Wayne State,2025,FR,185.25,210.40,,,,,,,0,0
Lauren Plockmeyer,Northern Michigan,2025,JR,179.00,177.65,,,,,,,0,0
Chloe Brown,Western Colorado,2025,5th,178.80,186.45,,,,,,,0,0
Alexandra Wallis,Western Colorado,2025,JR,175.50,173.80,,,,,,,0,0
Emma Dicob,Roberts Wesleyan,2025,JR,170.50,187.65,,,,,,,0,0
Allison Ferrer,Azuza Pacfic,2025,JR,165.65,185.15,,,,,,,0,0
Abigail Harned,Northern Michigan,2025,SR,160.15,194.90,,,,,,,0,0
Wen Wadsworth-Curcuru,Wayne State,2025,SO,158.40,173.60,,,,,,,0,0
Sarah Kerbrat,Uindy,2025,SR,154.35,174.05,,,,,,,0,0
Kathe Hepfer,Texas Basin Permian,2025,SR,152.20,180.25,,,,,,,0,0
Camilla Aguilar,Texas Basin Permian,2025,SR,142.85,180.45,,,,,,,0,0
Jenna Hurley,Colorado Mesa,2024,FR,,175.05,,,,,,,,
Alexa Gonczi,Clarion,2024,JR,281.45,244.00,461.10,,442.90,482.45,,505.00,0,1
Aspen Warnygora,Minnesota Mankato,2024,JR,252.35,219.00,401.05,,426.10,417.45,439.20,,0,1
